decimalLongitude,decimalLatitude
152.26,-32.61
151.38,-33.95
152.31,-32.57
150.17,-36.26
150.21,-36.26
153.6,-28.9
153.18,-30.21
151.37,-33.94
150.17,-36.26
151.783,-32.583
